"","Country Name","Country Code","Continent","year","Pop","Pop.fe","Pop.ma","birthrate","deathrate","lifeexp","lifeexp.fe","lifeexp.ma","ed.spend","ed.years","labour","lit.rate.per","co2","gdp","unemp","unemp.fe","unemp.ma","health.exp","medbeds","surg.pro","nurse.midwi"
"215","Small states","SST","Aggregated Nations",1999,28948606,14401954,14317064,26.7887194055123,9.68954670732126,63.2029920266989,65.3764601142317,61.1878777008331,4.592965,6.5,11231327,81.31537,142166.512290523,116625839442.435,NA,NA,NA,NA,NA,NA,NA
"216","Solomon Islands","SLB","Oceania",1999,401586,195088,206498,35.848,5.685,67.057,68.368,65.927,NA,NA,193033,76.6,150.347,482214092.308964,NA,NA,NA,NA,NA,NA,0.8989
"217","Somalia","SOM","Africa",1999,8553601,4269280,4284321,49.501,15.891,50.392,52.007,48.872,NA,NA,2252552,NA,491.378,NA,NA,NA,NA,NA,NA,NA,NA
"218","South Africa","ZAF","Africa",1999,44338543,22476163,21862380,23.119,11.448,57.144,60.462,54.077,5.87523,9,16087761,NA,375236.776,136632320704.653,25.3700008392334,30.2600002288818,21.0599994659424,NA,NA,NA,3.8994
"219","South Asia","SAS","Aggregated Nations",1999,1365067928,657579212,707488716,28.1525239907182,8.72425354925048,62.4043113203733,63.2476137553098,61.6257169239248,2.7524,7.5,498834873,56.91616,1134852.159,598384655116.037,NA,NA,NA,NA,NA,NA,NA
"220","South Asia (IDA & IBRD)","TSA","Aggregated Nations",1999,1365067928,657579212,707488716,28.1525239907182,8.72425354925048,62.4043113203734,63.2476137553098,61.6257169239248,2.7524,7.5,498834873,56.91616,1134852.159,598384655116.037,NA,NA,NA,NA,NA,NA,NA
"221","South Sudan","SSD","Africa",1999,5933882,2979110,2954772,43.679,16.439,48.754,50.02,47.511,NA,NA,2435291,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"222","Spain","ESP","Europe",1999,40386875,20576752,19810123,9.4,9.2,78.7170731707317,82.2,75.4,4.27052,10,17760180,NA,282355.333,634693160025.57,15.4756002426147,22.8054008483887,10.768500328064,NA,4.0999999046,NA,3.3692
"223","Sri Lanka","LKA","Asia",1999,18663284,9338123,9325161,18.464,7.189,70.503,74.284,67.057,NA,9,7861675,NA,8617.45,15656327859.5696,8.88000011444092,13.3500003814697,6.65000009536743,NA,2.2000000477,NA,0.7529
"224","St. Kitts and Nevis","KNA","North America",1999,43614,NA,NA,NA,NA,NA,NA,NA,3.32265,12,NA,NA,161.348,406597041.48593,NA,NA,NA,NA,NA,NA,6.055
